køn	alder	fraflytningskommune	tilflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	0-4 år	Frederiksberg	Bornholm	1	1	4	3	1	1	2	2	5	3	4	0
Mænd	0-4 år	Frederiksberg	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Greve	7	4	11	8	2	3	6	4	7	7	13	8
Mænd	0-4 år	Frederiksberg	Køge	13	9	4	6	1	4	3	1	4	8	4	8
Mænd	0-4 år	Frederiksberg	Lejre	4	0	6	0	4	1	4	5	1	7	3	4
Mænd	0-4 år	Frederiksberg	Roskilde	15	11	11	6	11	16	12	19	22	22	14	17
Mænd	0-4 år	Frederiksberg	Solrød	2	0	5	3	2	3	0	3	4	5	1	5
Mænd	0-4 år	Frederiksberg	Faxe	1	0	7	2	1	3	1	0	1	1	3	1
Mænd	0-4 år	Frederiksberg	Guldborgsund	2	1	0	3	0	1	0	1	1	2	0	1
Mænd	0-4 år	Frederiksberg	Holbæk	7	7	8	0	3	9	1	3	2	4	7	6
Mænd	0-4 år	Frederiksberg	Kalundborg	2	0	2	0	1	1	0	0	1	3	0	0
Mænd	0-4 år	Frederiksberg	Lolland	0	2	1	1	0	0	0	1	2	0	1	1
Mænd	0-4 år	Frederiksberg	Næstved	3	8	4	2	1	0	3	3	4	5	4	4
Mænd	0-4 år	Frederiksberg	Odsherred	2	1	0	2	1	0	0	0	1	0	0	2
Mænd	0-4 år	Frederiksberg	Ringsted	2	2	2	5	3	1	2	0	2	2	1	2
Mænd	0-4 år	Frederiksberg	Slagelse	1	3	1	1	2	1	1	1	1	0	1	0
Mænd	0-4 år	Frederiksberg	Sorø	6	2	0	0	0	1	0	2	2	1	1	3
Mænd	0-4 år	Frederiksberg	Stevns	1	2	1	0	1	0	2	1	1	1	4	2
Mænd	0-4 år	Frederiksberg	Vordingborg	3	0	6	1	0	2	1	0	3	1	0	1
Mænd	0-4 år	Frederiksberg	Assens	1	2	1	0	0	1	0	1	0	0	0	1
Mænd	0-4 år	Frederiksberg	Faaborg-Midtfyn	3	1	1	1	1	1	0	0	1	2	0	0
Mænd	0-4 år	Frederiksberg	Kerteminde	0	0	0	0	1	0	0	0	0	0	0	1
Mænd	0-4 år	Frederiksberg	Langeland	1	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Middelfart	1	1	2	2	0	1	0	0	1	0	0	1
Mænd	0-4 år	Frederiksberg	Nordfyns	0	0	1	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Nyborg	2	1	1	0	0	0	1	1	0	0	0	2
Mænd	0-4 år	Frederiksberg	Odense	6	8	4	6	3	2	3	7	5	2	4	3
Mænd	0-4 år	Frederiksberg	Svendborg	4	5	0	4	2	3	0	1	1	2	9	6
Mænd	0-4 år	Frederiksberg	Ærø	0	0	0	0	0	2	1	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Billund	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Esbjerg	3	4	0	1	0	0	3	2	2	1	4	3
Mænd	0-4 år	Frederiksberg	Fanø	0	1	1	0	0	0	0	0	0	0	0	1
Mænd	0-4 år	Frederiksberg	Fredericia	0	1	1	3	1	1	1	0	1	1	0	0
Mænd	0-4 år	Frederiksberg	Haderslev	0	0	0	2	3	0	1	1	0	0	2	0
Mænd	0-4 år	Frederiksberg	Kolding	3	0	1	1	1	2	3	5	2	1	1	2
Mænd	0-4 år	Frederiksberg	Sønderborg	3	3	0	1	4	1	1	0	2	0	0	2
Mænd	0-4 år	Frederiksberg	Tønder	0	0	0	0	1	0	0	0	1	0	0	0
Mænd	0-4 år	Frederiksberg	Varde	0	0	0	0	2	3	0	0	0	1	0	0
Mænd	0-4 år	Frederiksberg	Vejen	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Vejle	8	3	0	0	4	3	1	1	3	2	4	3
Mænd	0-4 år	Frederiksberg	Aabenraa	1	1	0	0	0	0	0	0	0	0	1	2
Mænd	0-4 år	Frederiksberg	Favrskov	2	0	0	1	0	0	0	4	0	1	0	1
Mænd	0-4 år	Frederiksberg	Hedensted	0	0	3	0	0	0	0	0	1	0	0	0
Mænd	0-4 år	Frederiksberg	Horsens	2	2	2	1	0	0	0	0	1	3	3	1
Mænd	0-4 år	Frederiksberg	Norddjurs	0	0	1	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Odder	0	2	0	2	0	0	0	0	0	0	0	1
Mænd	0-4 år	Frederiksberg	Randers	2	0	2	0	0	1	1	1	0	0	2	0
Mænd	0-4 år	Frederiksberg	Samsø	0	0	0	0	0	0	0	0	0	0	0	1
Mænd	0-4 år	Frederiksberg	Silkeborg	4	1	1	1	1	0	1	2	4	2	2	5
Mænd	0-4 år	Frederiksberg	Skanderborg	0	5	0	1	4	0	1	1	1	4	3	4
Mænd	0-4 år	Frederiksberg	Syddjurs	0	2	1	0	0	0	1	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Aarhus	10	19	6	4	11	8	4	10	8	12	12	13
Mænd	0-4 år	Frederiksberg	Herning	3	0	4	0	1	0	1	2	0	0	0	0
Mænd	0-4 år	Frederiksberg	Holstebro	0	0	1	0	2	0	1	2	0	0	0	1
Mænd	0-4 år	Frederiksberg	Ikast-Brande	0	0	2	2	0	0	0	0	3	0	0	0
Mænd	0-4 år	Frederiksberg	Lemvig	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Ringkøbing-Skjern	1	0	1	1	0	0	1	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Skive	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Struer	2	1	0	0	0	0	0	1	0	0	0	0
Mænd	0-4 år	Frederiksberg	Viborg	2	0	2	3	0	3	0	0	1	0	2	1
Mænd	0-4 år	Frederiksberg	Brønderslev	1	0	0	1	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Frederikshavn	1	0	0	0	0	0	0	0	0	1	1	2
Mænd	0-4 år	Frederiksberg	Hjørring	0	0	0	2	0	1	0	1	0	0	0	0
Mænd	0-4 år	Frederiksberg	Jammerbugt	1	0	0	0	0	1	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Læsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Mariagerfjord	1	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Morsø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Rebild	1	1	0	0	0	0	1	0	0	1	3	0
Mænd	0-4 år	Frederiksberg	Thisted	0	0	3	0	0	0	0	0	1	0	0	0
Mænd	0-4 år	Frederiksberg	Vesthimmerlands	0	0	0	0	0	0	1	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Aalborg	2	1	3	1	1	4	3	3	2	0	1	3
