køn	alder	tilflytningskommune	fraflytningskommune	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Mænd	0-4 år	Frederiksberg	Frederiksberg	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Dragør	0	0	3	0	0	0	2	0	1	1	0	0
Mænd	0-4 år	Frederiksberg	Tårnby	0	1	3	0	0	4	0	1	0	1	0	1
Mænd	0-4 år	Frederiksberg	Albertslund	0	4	0	0	3	1	1	2	0	0	0	0
Mænd	0-4 år	Frederiksberg	Ballerup	0	0	2	0	3	0	1	2	0	0	0	1
Mænd	0-4 år	Frederiksberg	Brøndby	1	0	1	2	1	0	0	2	2	4	0	1
Mænd	0-4 år	Frederiksberg	Gentofte	4	12	3	5	2	9	7	3	5	5	3	2
Mænd	0-4 år	Frederiksberg	Gladsaxe	1	2	0	5	4	6	7	5	2	2	1	3
Mænd	0-4 år	Frederiksberg	Glostrup	0	1	0	1	0	0	1	2	0	0	0	0
Mænd	0-4 år	Frederiksberg	Herlev	1	1	1	2	1	0	1	1	1	1	1	0
Mænd	0-4 år	Frederiksberg	Hvidovre	1	1	5	4	0	5	0	5	5	3	3	1
Mænd	0-4 år	Frederiksberg	Høje-Taastrup	2	0	3	2	5	1	2	1	0	1	2	2
Mænd	0-4 år	Frederiksberg	Ishøj	1	2	0	0	0	2	1	1	0	1	0	1
Mænd	0-4 år	Frederiksberg	Lyngby-Taarbæk	5	1	1	2	6	1	1	1	0	2	2	0
Mænd	0-4 år	Frederiksberg	Rødovre	3	2	3	4	1	0	2	6	0	1	1	6
Mænd	0-4 år	Frederiksberg	Vallensbæk	0	1	0	0	0	2	0	1	2	3	0	0
Mænd	0-4 år	Frederiksberg	Allerød	0	1	0	0	2	1	1	0	0	1	1	0
Mænd	0-4 år	Frederiksberg	Egedal	1	0	0	0	1	0	1	0	1	1	2	0
Mænd	0-4 år	Frederiksberg	Fredensborg	3	0	0	0	0	1	0	2	0	1	0	0
Mænd	0-4 år	Frederiksberg	Frederikssund	1	3	1	0	0	0	1	1	0	0	0	0
Mænd	0-4 år	Frederiksberg	Furesø	0	0	2	1	2	3	2	1	0	0	1	0
Mænd	0-4 år	Frederiksberg	Gribskov	0	0	0	0	0	0	2	0	1	1	1	0
Mænd	0-4 år	Frederiksberg	Halsnæs	1	0	0	0	0	1	1	0	0	2	0	0
Mænd	0-4 år	Frederiksberg	Helsingør	2	2	4	1	2	0	1	3	1	2	1	3
Mænd	0-4 år	Frederiksberg	Hillerød	0	2	0	0	1	2	3	2	0	1	0	1
Mænd	0-4 år	Frederiksberg	Hørsholm	2	0	0	1	1	3	1	2	0	0	1	0
Mænd	0-4 år	Frederiksberg	Rudersdal	2	5	1	1	2	2	1	4	0	2	0	2
Mænd	0-4 år	Frederiksberg	Bornholm	1	0	0	0	0	1	1	1	0	0	2	1
Mænd	0-4 år	Frederiksberg	Christiansø	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Greve	3	1	3	2	2	2	2	0	2	1	1	0
Mænd	0-4 år	Frederiksberg	Køge	4	0	2	0	1	5	1	1	2	0	0	2
Mænd	0-4 år	Frederiksberg	Lejre	1	0	1	0	2	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Roskilde	1	2	2	1	1	0	2	3	3	0	1	0
Mænd	0-4 år	Frederiksberg	Solrød	0	0	0	1	0	2	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Faxe	1	0	1	0	0	1	2	0	0	0	0	2
Mænd	0-4 år	Frederiksberg	Guldborgsund	5	2	1	0	1	0	1	0	0	1	0	0
Mænd	0-4 år	Frederiksberg	Holbæk	0	2	2	3	1	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Kalundborg	2	2	1	1	0	0	1	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Lolland	0	0	3	3	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Næstved	0	2	2	1	0	0	2	1	2	0	1	2
Mænd	0-4 år	Frederiksberg	Odsherred	0	0	0	0	0	0	0	0	1	1	0	0
Mænd	0-4 år	Frederiksberg	Ringsted	0	2	0	0	0	1	1	1	0	0	0	0
Mænd	0-4 år	Frederiksberg	Slagelse	2	0	1	0	2	0	0	0	0	1	0	1
Mænd	0-4 år	Frederiksberg	Sorø	1	0	1	0	0	2	0	0	0	2	0	1
Mænd	0-4 år	Frederiksberg	Stevns	1	0	1	0	0	0	0	1	0	0	0	0
Mænd	0-4 år	Frederiksberg	Vordingborg	1	0	0	0	0	0	1	0	0	0	0	1
Mænd	0-4 år	Frederiksberg	Assens	0	0	0	0	0	0	1	1	0	0	0	0
Mænd	0-4 år	Frederiksberg	Faaborg-Midtfyn	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Kerteminde	0	0	0	0	0	0	0	0	0	0	0	0
Mænd	0-4 år	Frederiksberg	Langeland	0	0	0	0	0	0	0	0	0	0	0	0
