køn,alder,fraflytningskommune,tilflytningskommune,år,antal
Mænd,0-4 år,København,Vallensbæk,2008,38
Mænd,0-4 år,København,Vallensbæk,2009,21
Mænd,0-4 år,København,Vallensbæk,2010,22
Mænd,0-4 år,København,Vallensbæk,2011,25
Mænd,0-4 år,København,Vallensbæk,2012,29
Mænd,0-4 år,København,Vallensbæk,2013,23
Mænd,0-4 år,København,Vallensbæk,2014,19
Mænd,0-4 år,København,Vallensbæk,2015,23
Mænd,0-4 år,København,Vallensbæk,2016,27
Mænd,0-4 år,København,Vallensbæk,2017,44
Mænd,0-4 år,København,Allerød,2006,32
Mænd,0-4 år,København,Allerød,2007,13
Mænd,0-4 år,København,Allerød,2008,17
Mænd,0-4 år,København,Allerød,2009,23
Mænd,0-4 år,København,Allerød,2010,25
Mænd,0-4 år,København,Allerød,2011,30
Mænd,0-4 år,København,Allerød,2012,29
Mænd,0-4 år,København,Allerød,2013,23
Mænd,0-4 år,København,Allerød,2014,34
Mænd,0-4 år,København,Allerød,2015,36
Mænd,0-4 år,København,Allerød,2016,31
Mænd,0-4 år,København,Allerød,2017,37
Mænd,0-4 år,København,Egedal,2006,39
Mænd,0-4 år,København,Egedal,2007,51
Mænd,0-4 år,København,Egedal,2008,36
Mænd,0-4 år,København,Egedal,2009,36
Mænd,0-4 år,København,Egedal,2010,39
Mænd,0-4 år,København,Egedal,2011,42
Mænd,0-4 år,København,Egedal,2012,45
Mænd,0-4 år,København,Egedal,2013,36
Mænd,0-4 år,København,Egedal,2014,48
Mænd,0-4 år,København,Egedal,2015,43
Mænd,0-4 år,København,Egedal,2016,48
Mænd,0-4 år,København,Egedal,2017,42
Mænd,0-4 år,København,Fredensborg,2006,53
Mænd,0-4 år,København,Fredensborg,2007,27
Mænd,0-4 år,København,Fredensborg,2008,36
Mænd,0-4 år,København,Fredensborg,2009,29
Mænd,0-4 år,København,Fredensborg,2010,37
Mænd,0-4 år,København,Fredensborg,2011,32
Mænd,0-4 år,København,Fredensborg,2012,34
Mænd,0-4 år,København,Fredensborg,2013,32
Mænd,0-4 år,København,Fredensborg,2014,59
Mænd,0-4 år,København,Fredensborg,2015,37
Mænd,0-4 år,København,Fredensborg,2016,30
Mænd,0-4 år,København,Fredensborg,2017,54
Mænd,0-4 år,København,Frederikssund,2006,28
Mænd,0-4 år,København,Frederikssund,2007,18
Mænd,0-4 år,København,Frederikssund,2008,16
Mænd,0-4 år,København,Frederikssund,2009,15
Mænd,0-4 år,København,Frederikssund,2010,13
Mænd,0-4 år,København,Frederikssund,2011,16
Mænd,0-4 år,København,Frederikssund,2012,19
Mænd,0-4 år,København,Frederikssund,2013,20
Mænd,0-4 år,København,Frederikssund,2014,20
Mænd,0-4 år,København,Frederikssund,2015,23
Mænd,0-4 år,København,Frederikssund,2016,26
Mænd,0-4 år,København,Frederikssund,2017,30
Mænd,0-4 år,København,Furesø,2006,50
Mænd,0-4 år,København,Furesø,2007,50
Mænd,0-4 år,København,Furesø,2008,59
Mænd,0-4 år,København,Furesø,2009,47
Mænd,0-4 år,København,Furesø,2010,71
Mænd,0-4 år,København,Furesø,2011,54
Mænd,0-4 år,København,Furesø,2012,70
