køn,alder,fraflytningskommune,tilflytningskommune,år,antal
Mænd,0-4 år,Holbæk,København,2016,6
Mænd,0-4 år,Holbæk,København,2017,7
Mænd,0-4 år,Kalundborg,København,2006,4
Mænd,0-4 år,Kalundborg,København,2007,5
Mænd,0-4 år,Kalundborg,København,2008,4
Mænd,0-4 år,Kalundborg,København,2009,3
Mænd,0-4 år,Kalundborg,København,2010,5
Mænd,0-4 år,Kalundborg,København,2011,1
Mænd,0-4 år,Kalundborg,København,2012,1
Mænd,0-4 år,Kalundborg,København,2013,1
Mænd,0-4 år,Kalundborg,København,2014,3
Mænd,0-4 år,Kalundborg,København,2015,1
Mænd,0-4 år,Kalundborg,København,2016,2
Mænd,0-4 år,Kalundborg,København,2017,4
Mænd,0-4 år,Lolland,København,2006,4
Mænd,0-4 år,Lolland,København,2007,2
Mænd,0-4 år,Lolland,København,2008,3
Mænd,0-4 år,Lolland,København,2009,11
Mænd,0-4 år,Lolland,København,2010,3
Mænd,0-4 år,Lolland,København,2011,4
Mænd,0-4 år,Lolland,København,2012,2
Mænd,0-4 år,Lolland,København,2013,2
Mænd,0-4 år,Lolland,København,2014,2
Mænd,0-4 år,Lolland,København,2015,2
Mænd,0-4 år,Lolland,København,2016,1
Mænd,0-4 år,Lolland,København,2017,4
Mænd,0-4 år,Næstved,København,2006,10
Mænd,0-4 år,Næstved,København,2007,10
Mænd,0-4 år,Næstved,København,2008,6
Mænd,0-4 år,Næstved,København,2009,12
Mænd,0-4 år,Næstved,København,2010,4
Mænd,0-4 år,Næstved,København,2011,6
Mænd,0-4 år,Næstved,København,2012,6
Mænd,0-4 år,Næstved,København,2013,5
Mænd,0-4 år,Næstved,København,2014,3
Mænd,0-4 år,Næstved,København,2015,7
Mænd,0-4 år,Næstved,København,2016,7
Mænd,0-4 år,Næstved,København,2017,4
Mænd,0-4 år,Odsherred,København,2006,1
Mænd,0-4 år,Odsherred,København,2007,1
Mænd,0-4 år,Odsherred,København,2008,0
Mænd,0-4 år,Odsherred,København,2009,3
Mænd,0-4 år,Odsherred,København,2010,2
Mænd,0-4 år,Odsherred,København,2011,1
Mænd,0-4 år,Odsherred,København,2012,5
Mænd,0-4 år,Odsherred,København,2013,2
Mænd,0-4 år,Odsherred,København,2014,2
Mænd,0-4 år,Odsherred,København,2015,4
Mænd,0-4 år,Odsherred,København,2016,4
Mænd,0-4 år,Odsherred,København,2017,3
Mænd,0-4 år,Ringsted,København,2006,2
Mænd,0-4 år,Ringsted,København,2007,4
Mænd,0-4 år,Ringsted,København,2008,7
Mænd,0-4 år,Ringsted,København,2009,4
Mænd,0-4 år,Ringsted,København,2010,1
Mænd,0-4 år,Ringsted,København,2011,5
Mænd,0-4 år,Ringsted,København,2012,6
Mænd,0-4 år,Ringsted,København,2013,0
Mænd,0-4 år,Ringsted,København,2014,2
Mænd,0-4 år,Ringsted,København,2015,2
Mænd,0-4 år,Ringsted,København,2016,6
Mænd,0-4 år,Ringsted,København,2017,4
Mænd,0-4 år,Slagelse,København,2006,3
Mænd,0-4 år,Slagelse,København,2007,11
Mænd,0-4 år,Slagelse,København,2008,5
Mænd,0-4 år,Slagelse,København,2009,8
Mænd,0-4 år,Slagelse,København,2010,9
Mænd,0-4 år,Slagelse,København,2011,7
